WARNING: empty or missing file
nb
all                  all         95 144  45  55  50  50  53  28  48  50  61 3         
all                  all         68 178  42  48  26  50  38  21  35  37  51 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        130 127  67  37  63  49  48  23  63  55  60 1         
all                  all        105 139  53  50  52  49  50  26  51  50  59 3         
all                  all         59 173  29  62  30  49  51  26  33  40  60 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        134 133  62  27  72  55  54  17  73  62  65 1         
all                  all         85 148  35  61  50  55  59  29  45  51  64 3         
all                  all         75 176  34  43  41  55  55  20  49  52  65 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        128 118  53  48  75  50  59  29  61  60  64 1         
all                  all        106 141  66  47  40  50  38  25  46  41  50 3         
all                  all         60 181  29  53  31  50  52  23  37  43  62 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        124 131  68  39  56  45  45  23  59  51  57 1         
all                  all        102 131  57  61  45  45  44  32  42  43  54 3         
all                  all         68 165  36  61  32  45  47  27  34  40  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        111 133  54  50  57  46  51  27  53  52  60 1         
all                  all        112 124  65  58  47  46  42  32  45  43  52 3         
all                  all         71 172  40  51  31  46  44  23  38  41  56 2         

nb-tree
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        117 124  51  53  66  51  56  30  55  56  62 1         
all                  all        109 120  45  65  64  51  59  35  50  54  62 3         
all                  all         68 199  49  27  19  51  28  12  41  33  42 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        141  99  72  54  69  46  49  35  56  52  56 1         
all                  all         93 126  50  75  43  46  46  37  36  41  53 3         
all                  all         60 203  38  31  22  46  37  13  42  39  52 2         
